Date,League Name,Fixtures,Windrawwin,Predictz,Zulubet,Home Win,Draw,Away Win
2022-09-07,champions-league,Ajax v Rangers,1,1,None,100.0,0.0,0.0
2022-09-07,champions-league,Atletico Madrid v FC Porto,1,1,12,83.33,0.0,16.67
2022-09-07,champions-league,Barcelona v Plzen,1,1,1,100.0,0.0,0.0
2022-09-07,champions-league,Club Brugge v Bayer Leverkusen,1,X,1,66.67,33.33,0.0
2022-09-07,champions-league,Eintracht Frankfurt v Sporting Lisbon,X,X,12,16.67,66.67,16.67
2022-09-07,champions-league,Inter Milan v Bayern Munich,2,2,2,0.0,0.0,100.0
2022-09-07,champions-league,Napoli v Liverpool,X,2,12,16.67,33.33,50.0
2022-09-07,champions-league,Tottenham v Marseille,1,1,None,100.0,0.0,0.0
2022-09-07,k-league-1,Daegu FC v Seongnam Ilhwa Chunma,X,1,None,50.0,50.0,0.0
2022-09-07,k-league-1,Jeonbuk Motors v FC Seoul,1,1,None,100.0,0.0,0.0
2022-09-07,k-league-1,Ulsan Horang-i v Suwon Bluewings,1,1,None,100.0,0.0,0.0
